Link,Platform,Date
https://open.spotify.com/track/6UwTR0kjCtlT4FMNtIvLac,Spotify,06/01/2025
https://music.apple.com/il/album/stir-fry/1440907256?i=1440907394,Apple Music,06/01/2025
https://open.spotify.com/episode/0OnmeFleo20eaLf56rrJYf,Spotify,07/01/2025
https://music.apple.com/il/album/tower-of-song/511065875?i=511066231,Apple Music,07/01/2025
https://music.apple.com/il/album/live-performance/1216838545?i=1216838554,Apple Music,07/01/2025
https://music.apple.com/il/album/no-pension-modzitz/1766482250?i=1766482260,Apple Music,07/01/2025
https://music.apple.com/il/album/givin-it-up/354686024?i=354686698,Apple Music,07/01/2025
https://music.apple.com/il/album/la-prima-estate/676080788?i=676080867,Apple Music,07/01/2025
https://music.apple.com/il/album/blind-faith/1193184594?i=1193184647,Apple Music,07/01/2025
https://music.apple.com/il/album/i-build-a-world/921840820?i=921843905,Apple Music,07/01/2025
https://music.apple.com/il/playlist/songs-id-spin-if-i-was-a-dj/pl.u-6mo416etBa7pKEW,Apple Music,08/01/2025
https://music.apple.com/il/album/new-danville-girl-empire-burlesque-outtake/1576751982?i=1576752038,Apple Music,09/01/2025
https://open.spotify.com/track/1pJHnQCWY4hn8ZWuNJ75jt,Spotify,11/01/2025
